curve_family,metric,bootstrap_replicates,median,ci_low_2_5pct,ci_high_97_5pct
body14mean,omega_action,5000,0.5092669830311146,0.4563923389525929,0.5606791075527453
body14mean,omega_athlete,5000,0.0430150508437125,0.0240696046199678,0.0657705067417867
body14mean,omega_action_x_athlete,5000,0.2613917461072485,0.2154601191617378,0.3082704605554319
body14mean,omega_trial_residual,5000,0.1843220728550141,0.1598533315191221,0.2169196979495948
body14mean,context_relative_reliability_all_cells_n10,5000,0.9779019502012264,0.97304582853471,0.9813284246798905
body14mean,context_relative_reliability_pooled_fixed_actions_n10,5000,0.942796689572596,0.9269192438043024,0.9547430218855806
body14mean,context_relative_reliability_athlete_across_actions_n50,5000,0.4941401348806485,0.3494431841988122,0.6054732657832419
racket,omega_action,5000,0.3206461036271837,0.2757075440959819,0.3735819919633919
racket,omega_athlete,5000,0.0150545019423448,0.0057399349808816,0.0300139954194765
racket,omega_action_x_athlete,5000,0.2795890927992893,0.235746984732903,0.3199728599780823
racket,omega_trial_residual,5000,0.382871911743032,0.3392128384060873,0.4271515262661526
racket,context_relative_reliability_all_cells_n10,5000,0.941583310002334,0.9306080622743326,0.9511719138107846
racket,context_relative_reliability_pooled_fixed_actions_n10,5000,0.8850115100409194,0.8594100520970025,0.9054306459710554
racket,context_relative_reliability_athlete_across_actions_n50,5000,0.2396622309996846,0.1069176060465511,0.3918987778585241
