curve_family,normalised_time_pct,component,display_rolling_11
body14mean,0.0,fixed-action contrast dispersion,0.3432002182469404
body14mean,0.5025125628140703,fixed-action contrast dispersion,0.3449264942795706
body14mean,1.0050251256281406,fixed-action contrast dispersion,0.34669904361226456
body14mean,1.507537688442211,fixed-action contrast dispersion,0.3461995725753327
body14mean,2.0100502512562812,fixed-action contrast dispersion,0.3475440450037298
body14mean,2.5125628140703515,fixed-action contrast dispersion,0.34841919201122407
body14mean,3.015075376884422,fixed-action contrast dispersion,0.3506628688281668
body14mean,3.517587939698492,fixed-action contrast dispersion,0.3518182712056033
body14mean,4.0201005025125625,fixed-action contrast dispersion,0.3527399986301335
body14mean,4.522613065326633,fixed-action contrast dispersion,0.35322712716541765
body14mean,5.025125628140703,fixed-action contrast dispersion,0.3531930506866379
body14mean,5.527638190954773,fixed-action contrast dispersion,0.3526713444532469
body14mean,6.030150753768844,fixed-action contrast dispersion,0.3521215877009198
body14mean,6.532663316582914,fixed-action contrast dispersion,0.35129616257015833
body14mean,7.035175879396984,fixed-action contrast dispersion,0.3520187814604436
body14mean,7.537688442211055,fixed-action contrast dispersion,0.35084175498853304
body14mean,8.040201005025125,fixed-action contrast dispersion,0.3506139960267767
body14mean,8.542713567839195,fixed-action contrast dispersion,0.3507513179419735
body14mean,9.045226130653266,fixed-action contrast dispersion,0.35197568660194356
body14mean,9.547738693467336,fixed-action contrast dispersion,0.35303621422605347
body14mean,10.050251256281406,fixed-action contrast dispersion,0.35280505603147644
body14mean,10.552763819095476,fixed-action contrast dispersion,0.3448146481444093
body14mean,11.055276381909549,fixed-action contrast dispersion,0.344326187381891
body14mean,11.557788944723615,fixed-action contrast dispersion,0.3462342691388574
body14mean,12.060301507537687,fixed-action contrast dispersion,0.34865302081092026
body14mean,12.562814070351758,fixed-action contrast dispersion,0.3516844618549092
body14mean,13.065326633165828,fixed-action contrast dispersion,0.35498408081478033
body14mean,13.567839195979898,fixed-action contrast dispersion,0.3582440650037544
body14mean,14.070351758793969,fixed-action contrast dispersion,0.36298363675315176
body14mean,14.57286432160804,fixed-action contrast dispersion,0.3679012491714811
body14mean,15.07537688442211,fixed-action contrast dispersion,0.3728109984797461
body14mean,15.57788944723618,fixed-action contrast dispersion,0.3793627487720644
body14mean,16.08040201005025,fixed-action contrast dispersion,0.39314635737919734
body14mean,16.58291457286432,fixed-action contrast dispersion,0.39908970898705093
body14mean,17.08542713567839,fixed-action contrast dispersion,0.40348471311726697
body14mean,17.587939698492463,fixed-action contrast dispersion,0.4072783834172904
body14mean,18.09045226130653,fixed-action contrast dispersion,0.41067924356827573
body14mean,18.5929648241206,fixed-action contrast dispersion,0.41465228540180027
body14mean,19.09547738693467,fixed-action contrast dispersion,0.41893153250110265
body14mean,19.597989949748744,fixed-action contrast dispersion,0.4209412237559331
body14mean,20.100502512562812,fixed-action contrast dispersion,0.4006801796734244
body14mean,20.60301507537688,fixed-action contrast dispersion,0.4033237989176222
body14mean,21.105527638190953,fixed-action contrast dispersion,0.40600074657879154
body14mean,21.608040201005025,fixed-action contrast dispersion,0.40946180704022467
body14mean,22.110552763819097,fixed-action contrast dispersion,0.4135529068865219
body14mean,22.61306532663316,fixed-action contrast dispersion,0.417089476997071
body14mean,23.11557788944723,fixed-action contrast dispersion,0.4208064491900663
body14mean,23.618090452261303,fixed-action contrast dispersion,0.4244486207896252
body14mean,24.120603015075375,fixed-action contrast dispersion,0.4276106952767501
body14mean,24.623115577889443,fixed-action contrast dispersion,0.42990234346608014
body14mean,25.125628140703515,fixed-action contrast dispersion,0.43263549874035084
body14mean,25.628140703517587,fixed-action contrast dispersion,0.4570287444112054
body14mean,26.130653266331656,fixed-action contrast dispersion,0.45807355564519087
body14mean,26.633165829145725,fixed-action contrast dispersion,0.45842312286448456
body14mean,27.135678391959797,fixed-action contrast dispersion,0.45807711394530454
body14mean,27.63819095477387,fixed-action contrast dispersion,0.45707841700547597
body14mean,28.140703517587937,fixed-action contrast dispersion,0.45522259251603414
body14mean,28.64321608040201,fixed-action contrast dispersion,0.45249390000154666
body14mean,29.14572864321608,fixed-action contrast dispersion,0.4488318624933319
body14mean,29.64824120603015,fixed-action contrast dispersion,0.4442699855867311
body14mean,30.15075376884422,fixed-action contrast dispersion,0.43883442562153174
body14mean,30.653266331658287,fixed-action contrast dispersion,0.4327966063426601
body14mean,31.15577889447236,fixed-action contrast dispersion,0.42626279970384323
body14mean,31.65829145728643,fixed-action contrast dispersion,0.4192583640816277
body14mean,32.1608040201005,fixed-action contrast dispersion,0.41206962327624164
body14mean,32.66331658291457,fixed-action contrast dispersion,0.40504064942828977
body14mean,33.16582914572864,fixed-action contrast dispersion,0.39818684878574184
body14mean,33.66834170854271,fixed-action contrast dispersion,0.39179501747942463
body14mean,34.17085427135678,fixed-action contrast dispersion,0.3859554059174543
body14mean,34.67336683417085,fixed-action contrast dispersion,0.38083181350373874
body14mean,35.175879396984925,fixed-action contrast dispersion,0.376647498433835
body14mean,35.678391959798994,fixed-action contrast dispersion,0.37329000501674225
body14mean,36.18090452261306,fixed-action contrast dispersion,0.37088940845318097
body14mean,36.68341708542713,fixed-action contrast dispersion,0.36753495321795454
body14mean,37.1859296482412,fixed-action contrast dispersion,0.36668264932078287
body14mean,37.688442211055275,fixed-action contrast dispersion,0.36686535234451695
body14mean,38.19095477386934,fixed-action contrast dispersion,0.3674815534162954
body14mean,38.69346733668341,fixed-action contrast dispersion,0.36857722519255315
body14mean,39.19597989949749,fixed-action contrast dispersion,0.3701033821972839
body14mean,39.69849246231155,fixed-action contrast dispersion,0.37208870614328177
body14mean,40.201005025125625,fixed-action contrast dispersion,0.37447577432650425
body14mean,40.70351758793969,fixed-action contrast dispersion,0.37709309524737317
body14mean,41.20603015075376,fixed-action contrast dispersion,0.3800813533568684
body14mean,41.70854271356784,fixed-action contrast dispersion,0.38331060733573674
body14mean,42.211055276381906,fixed-action contrast dispersion,0.3886507745160634
body14mean,42.713567839195974,fixed-action contrast dispersion,0.3926282193999636
body14mean,43.21608040201005,fixed-action contrast dispersion,0.39685131280168134
body14mean,43.71859296482412,fixed-action contrast dispersion,0.40168674564414497
body14mean,44.22110552763819,fixed-action contrast dispersion,0.4072441132882942
body14mean,44.723618090452256,fixed-action contrast dispersion,0.41316624668737956
body14mean,45.22613065326632,fixed-action contrast dispersion,0.41981184417356376
body14mean,45.7286432160804,fixed-action contrast dispersion,0.4277212963027963
body14mean,46.23115577889447,fixed-action contrast dispersion,0.4367082859965716
body14mean,46.73366834170854,fixed-action contrast dispersion,0.4467156159338483
body14mean,47.23618090452261,fixed-action contrast dispersion,0.45774046656368267
body14mean,47.73869346733668,fixed-action contrast dispersion,0.4697774424742796
body14mean,48.24120603015075,fixed-action contrast dispersion,0.482971233001923
body14mean,48.74371859296482,fixed-action contrast dispersion,0.4970610633728386
body14mean,49.24623115577889,fixed-action contrast dispersion,0.5120449203160594
body14mean,49.74874371859296,fixed-action contrast dispersion,0.5277113914557621
