waveform,action_id,action_code,trials,R_L2_independence
racket,1,FA,1,0.6061554097213944
racket,1,FA,2,0.7547904842241123
racket,1,FA,3,0.8219759236282166
racket,1,FA,4,0.8602627960543632
racket,1,FA,5,0.8849961742323252
racket,1,FA,6,0.9022906537550328
racket,1,FA,7,0.9150635481931112
racket,1,FA,8,0.9248830841308975
racket,1,FA,9,0.9326674286611858
racket,1,FA,10,0.9389898890301405
racket,1,FA,11,0.9442269244338166
racket,1,FA,12,0.9486359531588437
racket,1,FA,13,0.952398958135547
racket,1,FA,14,0.9556482332468667
racket,1,FA,15,0.958482258685148
racket,1,FA,16,0.9609758553709674
racket,1,FA,17,0.9631868873944066
racket,1,FA,18,0.9651608081451151
racket,1,FA,19,0.9669338182928245
racket,1,FA,20,0.9685351061833665
racket,1,FA,21,0.9699884673323174
racket,1,FA,22,0.9713134949088181
racket,1,FA,23,0.9725264681906034
racket,1,FA,24,0.9736410247599648
racket,1,FA,25,0.9746686754593116
racket,1,FA,26,0.9756192034081448
racket,1,FA,27,0.9765009764332621
racket,1,FA,28,0.9773211940679648
racket,1,FA,29,0.9780860845678523
racket,1,FA,30,0.9788010633587636
racket,1,FA,31,0.9794708614469492
racket,1,FA,32,0.9800996302314747
racket,1,FA,33,0.9806910276277918
racket,1,FA,34,0.9812482892780255
racket,1,FA,35,0.9817742877762727
racket,1,FA,36,0.982271582198014
racket,1,FA,37,0.9827424597363372
racket,1,FA,38,0.9831889708745387
racket,1,FA,39,0.9836129592362285
racket,1,FA,40,0.9840160870294874
racket,1,FA,41,0.9843998568255774
racket,1,FA,42,0.9847656302738041
racket,1,FA,43,0.9851146442438762
racket,1,FA,44,0.9854480247990649
racket,1,FA,45,0.9857667993327938
racket,1,FA,46,0.9860719071442432
racket,1,FA,47,0.9863642086822884
racket,1,FA,48,0.9866444936493753
racket,1,FA,49,0.9869134881260729
racket,1,FA,50,0.9871718608516458
racket,2,FD,1,0.5694229880441793
racket,2,FD,2,0.7256462946981507
racket,2,FD,3,0.7986872281737257
racket,2,FD,4,0.8410139400265456
racket,2,FD,5,0.8686340820802656
racket,2,FD,6,0.8880779444736067
racket,2,FD,7,0.9025080234904805
racket,2,FD,8,0.9136421205093309
racket,2,FD,9,0.9224937431203626
racket,2,FD,10,0.9296994959154921
racket,2,FD,11,0.935679380653805
racket,2,FD,12,0.9407216975051329
racket,2,FD,13,0.9450309150782876
racket,2,FD,14,0.9487560760292335
racket,2,FD,15,0.9520083857183859
racket,2,FD,16,0.9548725027709547
racket,2,FD,17,0.9574140144346872
racket,2,FD,18,0.9596845206092383
racket,2,FD,19,0.961725173842165
racket,2,FD,20,0.9635691960155921
racket,2,FD,21,0.9652437009711763
racket,2,FD,22,0.9667710365729734
racket,2,FD,23,0.9681697878108132
racket,2,FD,24,0.9694555367876437
racket,2,FD,25,0.9706414456648237
racket,2,FD,26,0.9717387088834524
racket,2,FD,27,0.9727569076298288
racket,2,FD,28,0.9737042903413645
racket,2,FD,29,0.974587996651597
racket,2,FD,30,0.9754142376473695
racket,2,FD,31,0.976188442068275
racket,2,FD,32,0.9769153757265097
racket,2,FD,33,0.9775992397004045
racket,2,FD,34,0.9782437515766883
racket,2,FD,35,0.9788522130600323
racket,2,FD,36,0.9794275665461559
racket,2,FD,37,0.9799724427046463
racket,2,FD,38,0.9804892006952884
racket,2,FD,39,0.9809799623149466
racket,2,FD,40,0.9814466411174446
racket,2,FD,41,0.9818909673491707
racket,2,FD,42,0.9823145093854528
racket,2,FD,43,0.9827186922275023
racket,2,FD,44,0.9831048135196627
racket,2,FD,45,0.9834740574663176
racket,2,FD,46,0.9838275069629072
racket,2,FD,47,0.9841661542028262
racket,2,FD,48,0.9844909099790204
racket,2,FD,49,0.9848026118639244
racket,2,FD,50,0.9851020314224276
racket,3,FP,1,0.5377182108712557
racket,3,FP,2,0.699371584559163
racket,3,FP,3,0.7772604430153451
racket,3,FP,4,0.8230943613672207
racket,3,FP,5,0.8532845303216242
racket,3,FP,6,0.874672528801266
racket,3,FP,7,0.8906180877646075
racket,3,FP,8,0.9029640799831612
racket,3,FP,9,0.9128057405196025
racket,3,FP,10,0.9208348921722698
racket,3,FP,11,0.9275100222561983
racket,3,FP,12,0.9331470060646416
racket,3,FP,13,0.9379705552834037
racket,3,FP,14,0.9421448927505389
racket,3,FP,15,0.9457928224290324
racket,3,FP,16,0.9490080127956502
racket,3,FP,17,0.9518631536044082
racket,3,FP,18,0.9544155176694986
racket,3,FP,19,0.9567108423267324
racket,3,FP,20,0.9587860944476064
racket,3,FP,21,0.9606714765190414
racket,3,FP,22,0.9623919061863291
racket,3,FP,23,0.9639681237354958
racket,3,FP,24,0.9654175322799414
racket,3,FP,25,0.966754843006
racket,3,FP,26,0.9679925762816735
racket,3,FP,27,0.9691414548441992
racket,3,FP,28,0.9702107152430195
racket,3,FP,29,0.9712083567015072
racket,3,FP,30,0.9721413415929357
racket,3,FP,31,0.9730157581616881
racket,3,FP,32,0.9738369535324758
racket,3,FP,33,0.9746096431500949
racket,3,FP,34,0.9753380013825766
racket,3,FP,35,0.9760257369647364
racket,3,FP,36,0.9766761561610717
racket,3,FP,37,0.9772922159186147
racket,3,FP,38,0.9778765688129002
racket,3,FP,39,0.978431601228312
