participant_code,action_id,action_code,trial_in_cell,raw_step_0based,raw_step_time_pct,global_index
1,4,BA,26,28,16.666667,176
2,5,BD,2,155,78.282828,502
2,5,BD,5,65,35.135135,505
2,5,BD,13,94,51.086957,513
2,5,BD,27,100,51.813472,527
2,5,BD,31,69,40.588235,531
2,5,BD,32,89,53.614458,532
2,5,BD,36,94,49.21466,536
2,5,BD,47,134,76.136364,547
2,5,BD,48,128,64.646465,548
3,1,FA,1,129,65.151515,601
3,1,FA,1,165,83.333333,601
3,1,FA,1,174,87.878788,601
3,1,FA,1,175,88.383838,601
3,1,FA,3,78,39.393939,603
3,1,FA,3,190,95.959596,603
3,1,FA,3,191,96.464646,603
3,1,FA,6,53,26.767677,606
3,1,FA,7,20,10.416667,607
3,1,FA,14,4,2.020202,614
3,1,FA,17,7,3.535354,617
3,1,FA,17,82,41.414141,617
3,1,FA,19,28,14.141414,619
3,1,FA,19,150,75.757576,619
3,1,FA,21,7,3.608247,621
3,1,FA,22,63,33.68984,622
3,1,FA,23,5,2.873563,623
3,1,FA,23,6,3.448276,623
3,1,FA,23,163,93.678161,623
3,1,FA,24,17,8.585859,624
3,1,FA,25,84,44.210526,625
3,1,FA,26,7,3.664921,626
3,1,FA,26,172,90.052356,626
3,1,FA,28,19,9.59596,628
3,1,FA,28,159,80.30303,628
3,1,FA,30,16,8.080808,630
3,1,FA,30,75,37.878788,630
3,1,FA,31,123,62.121212,631
3,1,FA,31,152,76.767677,631
3,1,FA,31,173,87.373737,631
3,1,FA,32,36,18.181818,632
3,1,FA,32,37,18.686869,632
3,1,FA,32,88,44.444444,632
3,1,FA,33,16,8.080808,633
3,1,FA,34,24,12.121212,634
3,1,FA,34,135,68.181818,634
3,1,FA,34,158,79.79798,634
3,1,FA,34,175,88.383838,634
3,1,FA,35,24,12.121212,635
3,1,FA,35,63,31.818182,635
3,1,FA,36,25,12.626263,636
3,1,FA,39,39,20.634921,639
3,1,FA,39,124,65.608466,639
3,1,FA,42,89,45.876289,642
3,1,FA,44,39,19.69697,644
3,1,FA,47,168,84.848485,647
3,1,FA,48,160,80.808081,648
3,1,FA,49,22,11.111111,649
3,1,FA,49,171,86.363636,649
3,5,BD,1,98,56.321839,801
3,5,BD,6,108,62.427746,806
3,5,BD,7,106,59.550562,807
3,5,BD,8,105,61.403509,808
3,5,BD,12,107,64.848485,812
3,5,BD,14,106,60.571429,814
3,5,BD,15,103,52.020202,815
3,5,BD,19,136,70.833333,819
3,5,BD,20,108,61.714286,820
3,5,BD,21,105,61.046512,821
3,5,BD,22,102,58.959538,822
3,5,BD,24,99,50.0,824
3,5,BD,25,97,61.392405,825
3,5,BD,25,102,64.556962,825
3,5,BD,27,95,60.126582,827
3,5,BD,29,86,43.434343,829
3,5,BD,30,91,45.959596,830
3,5,BD,31,91,45.959596,831
3,5,BD,32,121,61.111111,832
3,5,BD,33,91,56.875,833
3,5,BD,33,103,64.375,833
3,5,BD,37,88,44.444444,837
3,5,BD,43,103,57.865169,843
3,5,BD,47,96,59.259259,847
3,5,BD,48,107,59.444444,848
3,5,BD,50,103,58.857143,850
3,5,BD,50,108,61.714286,850
4,2,FD,5,42,22.580645,955
4,2,FD,5,126,67.741935,955
4,5,BD,31,65,39.393939,1131
5,1,FA,6,75,46.875,1206
5,4,BA,41,170,99.415205,1391
5,4,BA,41,171,100.0,1391
5,4,BA,47,150,100.0,1397
5,5,BD,14,79,50.641026,1414
5,5,BD,15,90,54.216867,1415
5,5,BD,17,69,48.251748,1417
5,5,BD,18,123,82.0,1418
5,5,BD,22,85,55.555556,1422
5,5,BD,31,84,56.756757,1431
5,5,BD,39,88,57.51634,1439
5,5,BD,42,89,57.051282,1442
5,5,BD,45,142,95.945946,1445
5,5,BD,49,139,83.233533,1449
6,2,FD,13,7,4.0,1563
6,3,FP,2,65,38.690476,1602
6,3,FP,6,114,61.290323,1606
6,3,FP,12,126,64.615385,1612
6,3,FP,20,162,81.818182,1620
6,5,BD,8,133,76.0,1708
6,5,BD,16,100,53.763441,1716
6,5,BD,20,139,73.93617,1720
6,5,BD,43,148,77.486911,1743
6,5,BD,45,109,55.329949,1745
7,5,BD,9,106,58.888889,2009
7,5,BD,20,111,56.060606,2020
7,5,BD,33,124,62.626263,2033
7,5,BD,43,111,61.325967,2043
7,5,BD,45,106,53.535354,2045
7,5,BD,50,116,62.032086,2050
8,5,BD,2,94,57.668712,2302
8,5,BD,3,91,55.828221,2303
8,5,BD,7,92,53.80117,2307
8,5,BD,24,87,51.176471,2324
8,5,BD,25,94,48.205128,2325
8,5,BD,28,82,44.565217,2328
8,5,BD,32,69,40.116279,2332
8,5,BD,33,95,48.969072,2333
9,5,BD,6,96,48.484848,2606
9,5,BD,7,91,45.959596,2607
9,5,BD,8,100,50.505051,2608
9,5,BD,17,140,70.707071,2617
9,5,BD,28,100,50.505051,2628
9,5,BD,42,101,51.010101,2642
10,4,BA,20,166,93.785311,2870
10,5,BD,16,184,92.929293,2916
10,5,BD,18,126,63.636364,2918
10,5,BD,22,111,56.060606,2922
10,5,BD,31,115,58.080808,2931
11,5,BD,4,90,59.210526,3204
11,5,BD,9,99,55.0,3209
11,5,BD,15,88,69.291339,3215
11,5,BD,16,58,43.609023,3216
11,5,BD,29,94,70.149254,3229
11,5,BD,34,114,78.62069,3234
12,4,BA,4,144,77.005348,3454
12,4,BA,12,127,64.141414,3462
12,4,BA,46,139,70.20202,3496
12,5,BD,2,101,56.741573,3502
12,5,BD,4,99,52.659574,3504
12,5,BD,9,89,46.354167,3509
12,5,BD,18,108,61.714286,3518
12,5,BD,21,31,15.656566,3521
12,5,BD,24,91,46.666667,3524
12,5,BD,27,77,47.530864,3527
12,5,BD,46,70,43.209877,3546
13,4,BA,29,104,59.428571,3779
13,4,BA,33,160,95.808383,3783
13,4,BA,37,95,54.913295,3787
13,4,BA,38,109,61.931818,3788
13,4,BA,42,27,14.516129,3792
13,4,BA,43,112,62.921348,3793
13,4,BA,45,114,61.290323,3795
13,5,BD,2,93,51.666667,3802
13,5,BD,4,86,48.314607,3804
13,5,BD,6,90,49.723757,3806
13,5,BD,8,108,57.446809,3808
13,5,BD,9,117,59.090909,3809
13,5,BD,10,104,52.525253,3810
13,5,BD,10,140,70.707071,3810
13,5,BD,11,103,52.020202,3811
13,5,BD,11,120,60.606061,3811
13,5,BD,12,113,57.070707,3812
13,5,BD,12,151,76.262626,3812
13,5,BD,13,94,49.473684,3813
13,5,BD,14,95,51.075269,3814
13,5,BD,14,128,68.817204,3814
13,5,BD,17,65,32.828283,3817
13,5,BD,19,112,56.565657,3819
13,5,BD,20,112,56.565657,3820
13,5,BD,22,98,49.494949,3822
13,5,BD,23,78,46.428571,3823
13,5,BD,24,96,50.0,3824
13,5,BD,25,107,56.914894,3825
13,5,BD,26,98,49.494949,3826
13,5,BD,27,89,44.949495,3827
13,5,BD,29,97,48.989899,3829
13,5,BD,30,80,40.40404,3830
13,5,BD,31,93,48.4375,3831
13,5,BD,32,103,52.020202,3832
13,5,BD,33,90,45.454545,3833
13,5,BD,34,99,50.0,3834
13,5,BD,35,97,48.989899,3835
13,5,BD,36,89,44.949495,3836
13,5,BD,37,63,36.842105,3837
13,5,BD,39,102,51.515152,3839
13,5,BD,40,91,48.148148,3840
13,5,BD,41,90,45.454545,3841
13,5,BD,44,84,42.424242,3844
13,5,BD,45,82,41.414141,3845
13,5,BD,49,90,45.454545,3849
14,3,FP,3,197,99.494949,4003
14,3,FP,3,198,100.0,4003
14,3,FP,35,185,99.462366,4035
14,3,FP,35,186,100.0,4035
14,5,BD,5,66,37.714286,4105
14,5,BD,10,72,40.0,4110
14,5,BD,12,97,48.989899,4112
14,5,BD,13,69,37.704918,4113
14,5,BD,16,80,41.884817,4116
14,5,BD,20,85,45.945946,4120
14,5,BD,21,94,47.474747,4121
14,5,BD,25,128,64.646465,4125
14,5,BD,29,96,48.484848,4129
14,5,BD,41,67,37.640449,4141
14,5,BD,43,102,56.043956,4143
14,5,BD,47,101,51.010101,4147
14,5,BD,48,152,91.017964,4148
15,3,FP,12,198,100.0,4312
15,3,FP,33,186,100.0,4333
15,5,BD,18,157,79.292929,4418
15,5,BD,39,94,51.086957,4439
15,5,BD,41,128,64.646465,4441
15,6,BP,32,18,9.424084,4482
16,4,BA,11,94,63.945578,4661
16,5,BD,3,39,19.69697,4703
16,5,BD,10,140,70.707071,4710
16,5,BD,19,13,6.565657,4719
16,5,BD,23,85,50.0,4723
16,5,BD,26,99,54.395604,4726
16,5,BD,32,165,96.491228,4732
16,5,BD,37,108,55.384615,4737
16,5,BD,39,129,65.151515,4739
17,4,BA,11,81,57.042254,4961
17,5,BD,3,56,39.716312,5003
17,5,BD,8,116,64.088398,5008
17,5,BD,9,113,60.752688,5009
17,5,BD,33,137,84.04908,5033
17,5,BD,35,105,59.659091,5035
17,5,BD,36,105,67.741935,5036
17,5,BD,38,58,39.455782,5038
17,5,BD,40,99,51.5625,5040
17,5,BD,41,93,53.142857,5041
18,2,FD,40,155,78.282828,5190
18,4,BA,50,122,73.939394,5300
18,5,BD,1,101,57.714286,5301
18,5,BD,1,106,60.571429,5301
18,5,BD,1,133,76.0,5301
18,5,BD,2,104,55.913978,5302
18,5,BD,4,44,22.797927,5304
18,5,BD,6,98,53.846154,5306
18,5,BD,7,99,50.0,5307
18,5,BD,7,100,50.505051,5307
18,5,BD,7,107,54.040404,5307
18,5,BD,8,94,52.808989,5308
18,5,BD,9,102,52.849741,5309
18,5,BD,11,99,54.395604,5311
18,5,BD,13,153,77.272727,5313
18,5,BD,15,104,53.88601,5315
18,5,BD,16,138,82.634731,5316
18,5,BD,18,110,56.122449,5318
18,5,BD,22,136,68.686869,5322
18,5,BD,23,101,56.424581,5323
18,5,BD,25,148,78.306878,5325
18,5,BD,27,102,58.959538,5327
18,5,BD,29,118,59.59596,5329
18,5,BD,31,131,66.161616,5331
18,5,BD,32,101,51.010101,5332
18,5,BD,32,105,53.030303,5332
18,5,BD,33,72,48.979592,5333
18,5,BD,34,134,67.676768,5334
18,5,BD,38,114,57.575758,5338
18,5,BD,41,111,56.060606,5341
18,5,BD,42,100,52.083333,5342
18,5,BD,43,103,55.376344,5343
18,5,BD,44,137,69.191919,5344
18,5,BD,45,77,45.294118,5345
18,5,BD,47,98,55.05618,5347
18,5,BD,48,118,59.59596,5348
18,5,BD,49,129,65.151515,5349
18,5,BD,50,108,55.670103,5350
18,5,BD,50,112,57.731959,5350
19,1,FA,34,18,13.043478,5434
19,4,BA,9,35,24.305556,5559
19,4,BA,9,42,29.166667,5559
19,4,BA,34,66,38.823529,5584
19,5,BD,5,90,45.454545,5605
