participant_code,action_id,action_code,trial_in_cell,racket_peak_node_0based,racket_peak_time_pct,reference_peak_node_0based,reference_peak_time_pct
1,1,FA,1,102,51.256281407,111,55.7788944724
1,1,FA,2,112,56.2814070352,111,55.7788944724
1,1,FA,3,107,53.7688442211,111,55.7788944724
1,1,FA,4,108,54.2713567839,111,55.7788944724
1,1,FA,5,116,58.2914572864,111,55.7788944724
1,1,FA,6,94,47.2361809045,111,55.7788944724
1,1,FA,7,98,49.2462311558,111,55.7788944724
1,1,FA,8,101,50.7537688442,111,55.7788944724
1,1,FA,9,95,47.7386934673,111,55.7788944724
1,1,FA,10,101,50.7537688442,111,55.7788944724
1,1,FA,11,108,54.2713567839,111,55.7788944724
1,1,FA,12,106,53.2663316583,111,55.7788944724
1,1,FA,13,112,56.2814070352,111,55.7788944724
1,1,FA,14,116,58.2914572864,111,55.7788944724
1,1,FA,15,105,52.7638190955,111,55.7788944724
1,1,FA,16,113,56.783919598,111,55.7788944724
1,1,FA,17,104,52.2613065327,111,55.7788944724
1,1,FA,18,113,56.783919598,111,55.7788944724
1,1,FA,19,107,53.7688442211,111,55.7788944724
1,1,FA,20,104,52.2613065327,111,55.7788944724
1,1,FA,21,114,57.2864321608,111,55.7788944724
1,1,FA,22,106,53.2663316583,111,55.7788944724
1,1,FA,23,115,57.7889447236,111,55.7788944724
1,1,FA,24,108,54.2713567839,111,55.7788944724
1,1,FA,25,108,54.2713567839,111,55.7788944724
1,1,FA,26,101,50.7537688442,111,55.7788944724
1,1,FA,27,108,54.2713567839,111,55.7788944724
1,1,FA,28,104,52.2613065327,111,55.7788944724
1,1,FA,29,108,54.2713567839,111,55.7788944724
1,1,FA,30,104,52.2613065327,111,55.7788944724
1,1,FA,31,94,47.2361809045,111,55.7788944724
1,1,FA,32,103,51.7587939698,111,55.7788944724
1,1,FA,33,109,54.7738693467,111,55.7788944724
1,1,FA,34,109,54.7738693467,111,55.7788944724
1,1,FA,35,106,53.2663316583,111,55.7788944724
1,1,FA,36,108,54.2713567839,111,55.7788944724
1,1,FA,37,101,50.7537688442,111,55.7788944724
1,1,FA,38,92,46.2311557789,111,55.7788944724
1,1,FA,39,99,49.7487437186,111,55.7788944724
1,1,FA,40,109,54.7738693467,111,55.7788944724
1,1,FA,41,100,50.2512562814,111,55.7788944724
1,1,FA,42,104,52.2613065327,111,55.7788944724
1,1,FA,43,100,50.2512562814,111,55.7788944724
1,1,FA,44,109,54.7738693467,111,55.7788944724
1,1,FA,45,108,54.2713567839,111,55.7788944724
1,1,FA,46,109,54.7738693467,111,55.7788944724
1,1,FA,47,102,51.256281407,111,55.7788944724
1,1,FA,48,98,49.2462311558,111,55.7788944724
1,1,FA,49,100,50.2512562814,111,55.7788944724
1,1,FA,50,109,54.7738693467,111,55.7788944724
2,1,FA,1,124,62.3115577889,111,55.7788944724
2,1,FA,2,120,60.3015075377,111,55.7788944724
2,1,FA,3,117,58.7939698492,111,55.7788944724
2,1,FA,4,114,57.2864321608,111,55.7788944724
2,1,FA,5,124,62.3115577889,111,55.7788944724
2,1,FA,6,127,63.8190954774,111,55.7788944724
2,1,FA,7,122,61.3065326633,111,55.7788944724
2,1,FA,8,122,61.3065326633,111,55.7788944724
2,1,FA,9,120,60.3015075377,111,55.7788944724
2,1,FA,10,125,62.8140703518,111,55.7788944724
2,1,FA,11,123,61.8090452261,111,55.7788944724
2,1,FA,12,119,59.7989949749,111,55.7788944724
2,1,FA,13,119,59.7989949749,111,55.7788944724
