waveform,action_id,action_code,registration_rule,B,W,W_over_B,continuous_n90,integer_n90,boundary_nodes,racket_peak_median_pct,racket_peak_p25_pct,racket_peak_p75_pct,peak_search_interval_pct,peak_smoothing_nodes_for_landmark_only,landmark_source
racket,1,FA,unregistered,56.5458050243,36.7401809084,0.649741937401,5.84767743661,6,0,55.7788944724,50.2512562814,61.3065326633,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,1,FA,robust_racket_peak_registered,38.1332391193,16.039171082,0.420608672446,3.78547805201,4,0,55.7788944724,50.2512562814,61.3065326633,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,2,FD,unregistered,183.267533786,138.580262376,0.756163732403,6.80547359162,7,0,57.7889447236,53.7688442211,62.3115577889,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,2,FD,robust_racket_peak_registered,56.3978057465,25.1705990655,0.446304581044,4.0167412294,5,0,57.7889447236,53.7688442211,62.3115577889,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,3,FP,unregistered,17.4789193246,15.0268038799,0.859710122852,7.73739110567,8,0,50.2512562814,42.7135678392,56.783919598,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,3,FP,robust_racket_peak_registered,12.3487130568,5.13601553046,0.415915043684,3.74323539316,4,0,50.2512562814,42.7135678392,56.783919598,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,4,BA,unregistered,26.3090746906,48.4837028271,1.84285093251,16.5856583926,17,0,49.2462311558,43.216080402,54.7738693467,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,4,BA,robust_racket_peak_registered,14.9753597976,9.21665063166,0.615454370128,5.53908933115,6,0,49.2462311558,43.216080402,54.7738693467,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,5,BD,unregistered,72.7581566378,212.797927209,2.92472950171,26.3225655154,27,0,48.2412060302,43.7185929648,52.7638190955,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,5,BD,robust_racket_peak_registered,26.6217442874,90.7165835934,3.40761231172,30.6685108055,31,0,48.2412060302,43.7185929648,52.7638190955,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,6,BP,unregistered,16.4099177184,18.1538575032,1.10627352402,9.95646171619,10,0,46.7336683417,41.2060301508,53.2663316583,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
racket,6,BP,robust_racket_peak_registered,10.2460715168,4.4938603466,0.43859349793,3.94734148137,4,0,46.7336683417,41.2060301508,53.2663316583,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,1,FA,unregistered,1.15407606978,0.66508958926,0.576296144314,5.18666529883,6,0,55.7788944724,50.2512562814,61.3065326633,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,1,FA,robust_racket_peak_registered,0.870636044969,0.506586988792,0.581858506456,5.2367265581,6,0,55.7788944724,50.2512562814,61.3065326633,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,2,FD,unregistered,4.68702630965,2.82358372244,0.602425404915,5.42182864424,6,0,57.7889447236,53.7688442211,62.3115577889,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,2,FD,robust_racket_peak_registered,2.65023761405,0.962192539255,0.363058970318,3.26753073286,4,0,57.7889447236,53.7688442211,62.3115577889,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,3,FP,unregistered,1.43168409255,0.524869247047,0.366609680012,3.2994871201,4,0,50.2512562814,42.7135678392,56.783919598,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,3,FP,robust_racket_peak_registered,1.44260229262,0.426466533306,0.295623080239,2.66060772215,3,0,50.2512562814,42.7135678392,56.783919598,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,4,BA,unregistered,0.647799838555,0.458099577946,0.70716222926,6.36446006334,7,0,49.2462311558,43.216080402,54.7738693467,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,4,BA,robust_racket_peak_registered,0.609121010238,0.25327088446,0.415797321391,3.74217589252,4,0,49.2462311558,43.216080402,54.7738693467,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,5,BD,unregistered,1.41023825668,1.23882356894,0.878449838583,7.90604854725,8,0,48.2412060302,43.7185929648,52.7638190955,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,5,BD,robust_racket_peak_registered,1.1316613896,0.546197534381,0.482651029187,4.34385926268,5,0,48.2412060302,43.7185929648,52.7638190955,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,6,BP,unregistered,1.10118121085,0.425853694245,0.386724446483,3.48052001835,4,0,46.7336683417,41.2060301508,53.2663316583,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
body_configuration,6,BP,robust_racket_peak_registered,1.0986246802,0.33021271372,0.300569174961,2.70512257465,3,0,46.7336683417,41.2060301508,53.2663316583,10-90,11,Hampel-type QC racket copy; warp applied to unaltered paired waveforms
