quality_rule,waveform,action_id,action_code,participant_code,integrated_within_SS,within_SS_share,integrated_squared_group_mean_deviation,between_distance_share
unaltered_nonzero_primary,racket,1,FA,1,683.014467238,0.0126465270587,52.0196401981,0.0313156710272
unaltered_nonzero_primary,racket,1,FA,2,1883.59307706,0.0348761438581,83.3534234716,0.0501785167772
unaltered_nonzero_primary,racket,1,FA,3,0.650495195817,1.20444082666e-05,240.925806505,0.145036629814
unaltered_nonzero_primary,racket,1,FA,4,1597.42946,0.029577609054,54.8255626978,0.0330048281531
unaltered_nonzero_primary,racket,1,FA,5,2463.96291795,0.0456221283854,239.832712347,0.144378590333
unaltered_nonzero_primary,racket,1,FA,6,511.828193284,0.00947688432124,38.6386918079,0.0232603792908
unaltered_nonzero_primary,racket,1,FA,7,976.938979849,0.0180887606866,20.8246662601,0.0125363880905
unaltered_nonzero_primary,racket,1,FA,8,821.562201923,0.0152118426701,17.5236583791,0.0105491910152
unaltered_nonzero_primary,racket,1,FA,9,422.078417242,0.00781509965098,25.7663660295,0.0155112768768
unaltered_nonzero_primary,racket,1,FA,10,1251.83917264,0.0231787447108,153.859369271,0.0926228896278
unaltered_nonzero_primary,racket,1,FA,11,1641.17840404,0.0303876536887,24.5273837316,0.0147654131626
unaltered_nonzero_primary,racket,1,FA,12,2887.69997688,0.0534679390358,20.7829529578,0.0125112768047
unaltered_nonzero_primary,racket,1,FA,13,2217.8775605,0.0410656727302,64.4622921334,0.0388061110461
unaltered_nonzero_primary,racket,1,FA,14,3109.40597131,0.057572992431,10.5087084246,0.0063262116903
unaltered_nonzero_primary,racket,1,FA,15,4417.00522548,0.0817841770294,23.4679646782,0.0141276459956
unaltered_nonzero_primary,racket,1,FA,16,2145.85000025,0.0397320282274,18.9762929239,0.0114236727563
unaltered_nonzero_primary,racket,1,FA,17,1972.79588425,0.0365278009883,59.7267571744,0.0359553328718
unaltered_nonzero_primary,racket,1,FA,18,1760.69276059,0.0326005519749,22.1382153888,0.0133271408184
unaltered_nonzero_primary,racket,1,FA,19,4013.47645392,0.0743125380331,56.127832585,0.0337887908107
unaltered_nonzero_primary,racket,1,FA,20,1091.43819486,0.0202087998516,33.1019440148,0.0199272733372
unaltered_nonzero_primary,racket,1,FA,21,1657.84481092,0.0306962447592,16.5759123283,0.00997865066871
unaltered_nonzero_primary,racket,1,FA,22,2014.12891891,0.037293113242,138.637988505,0.0834596629919
unaltered_nonzero_primary,racket,1,FA,23,798.228573241,0.0147798029686,9.72866530989,0.00585662802007
unaltered_nonzero_primary,racket,1,FA,24,2020.01307271,0.0374020627793,23.386144578,0.014078390535
unaltered_nonzero_primary,racket,1,FA,25,1150.88706951,0.0213095405209,41.416657455,0.0249327064733
unaltered_nonzero_primary,racket,1,FA,26,2304.14055687,0.04266289705,9.25065741533,0.00556886866769
unaltered_nonzero_primary,racket,1,FA,27,4327.98093195,0.0801358252141,26.7605422282,0.0161097680364
unaltered_nonzero_primary,racket,1,FA,28,1938.93103124,0.0359007677401,61.8300195821,0.0372214906805
unaltered_nonzero_primary,racket,1,FA,29,1349.65582158,0.0249898936059,12.0294076845,0.00724166819043
unaltered_nonzero_primary,racket,1,FA,30,575.937334014,0.0106639133255,60.1314145666,0.0361989354366
unaltered_nonzero_primary,racket,2,FD,1,973.803774689,0.00478027343902,83.5046639232,0.0154777708859
unaltered_nonzero_primary,racket,2,FD,2,7326.71108499,0.0359658519563,84.5837944851,0.0156777900801
unaltered_nonzero_primary,racket,2,FD,3,7441.20208338,0.0365278730666,280.284156811,0.0519512774288
unaltered_nonzero_primary,racket,2,FD,4,15236.882318,0.0747958323141,33.0240423397,0.00612107799788
unaltered_nonzero_primary,racket,2,FD,5,4998.26293654,0.0245358091413,156.925795358,0.0290865371168
unaltered_nonzero_primary,racket,2,FD,6,3938.25829878,0.0193323871102,165.492949009,0.0306744776597
unaltered_nonzero_primary,racket,2,FD,7,4630.22136068,0.0227291419098,178.251728588,0.0330393451753
unaltered_nonzero_primary,racket,2,FD,8,4399.46406007,0.0215963849586,136.262074528,0.0252564715658
unaltered_nonzero_primary,racket,2,FD,9,3690.49299521,0.0181161401305,91.6421724257,0.0169860757669
unaltered_nonzero_primary,racket,2,FD,10,8378.29430267,0.0411279343543,391.155326747,0.0725014896624
unaltered_nonzero_primary,racket,2,FD,11,11312.193314,0.0555300550702,257.480610713,0.047724590615
unaltered_nonzero_primary,racket,2,FD,12,12329.0036675,0.0605214420945,38.068998654,0.00705617161173
unaltered_nonzero_primary,racket,2,FD,13,13850.2540735,0.0679890583627,160.435519369,0.0297370720878
unaltered_nonzero_primary,racket,2,FD,14,6180.65715796,0.0303400253889,140.76960713,0.0260919525268
unaltered_nonzero_primary,racket,2,FD,15,10262.6631347,0.0503780507651,85.909388647,0.0159234918381
unaltered_nonzero_primary,racket,2,FD,16,9170.09657716,0.045014786593,30.0163076031,0.00556358782963
