scenario,waveform,action_id,action_label_en,action_label,metric,reference_estimate,n_cluster_bootstrap,finite_replicates,percentile_2_5,percentile_50,percentile_97_5
codes_1_30_primary,racket,1,forehand_attack,forehand attack,required_n_R_L2_80,3,5000,5000,2,3,5
codes_1_30_primary,racket,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_80,3,5000,5000,2,4,5
codes_1_30_primary,racket,1,forehand_attack,forehand attack,required_n_R_L2_90,6,5000,5000,4,7,11
codes_1_30_primary,racket,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_90,7,5000,5000,5,8,12
codes_1_30_primary,racket,2,forehand_drive,forehand drive,required_n_R_L2_80,4,5000,5000,3,4,5
codes_1_30_primary,racket,2,forehand_drive,forehand drive,required_n_mean_pointwise_R_80,4,5000,5000,3,4,5
codes_1_30_primary,racket,2,forehand_drive,forehand drive,required_n_R_L2_90,7,5000,5000,6,8,11
codes_1_30_primary,racket,2,forehand_drive,forehand drive,required_n_mean_pointwise_R_90,8,5000,5000,6,8,11
codes_1_30_primary,racket,3,forehand_push,forehand push,required_n_R_L2_80,4,5000,5000,3,4,6
codes_1_30_primary,racket,3,forehand_push,forehand push,required_n_mean_pointwise_R_80,4,5000,5000,3,4,6
codes_1_30_primary,racket,3,forehand_push,forehand push,required_n_R_L2_90,8,5000,5000,6,9,12
codes_1_30_primary,racket,3,forehand_push,forehand push,required_n_mean_pointwise_R_90,9,5000,5000,7,10,14
codes_1_30_primary,racket,4,backhand_attack,backhand attack,required_n_R_L2_80,8,5000,5000,6,8,12
codes_1_30_primary,racket,4,backhand_attack,backhand attack,required_n_mean_pointwise_R_80,7,5000,5000,6,8,11
codes_1_30_primary,racket,4,backhand_attack,backhand attack,required_n_R_L2_90,17,5000,5000,13,18,27
codes_1_30_primary,racket,4,backhand_attack,backhand attack,required_n_mean_pointwise_R_90,16,5000,5000,13,18,26
codes_1_30_primary,racket,5,backhand_drive,backhand drive,required_n_R_L2_80,12,5000,5000,8,13,20
codes_1_30_primary,racket,5,backhand_drive,backhand drive,required_n_mean_pointwise_R_80,8,5000,5000,6,8,11
codes_1_30_primary,racket,5,backhand_drive,backhand drive,required_n_R_L2_90,27,5000,5000,18,28,44
codes_1_30_primary,racket,5,backhand_drive,backhand drive,required_n_mean_pointwise_R_90,17,5000,5000,14,19,27
codes_1_30_primary,racket,6,backhand_push,backhand push,required_n_R_L2_80,5,5000,5000,4,5,7
codes_1_30_primary,racket,6,backhand_push,backhand push,required_n_mean_pointwise_R_80,5,5000,5000,4,5,7
codes_1_30_primary,racket,6,backhand_push,backhand push,required_n_R_L2_90,10,5000,5000,8,11,15
codes_1_30_primary,racket,6,backhand_push,backhand push,required_n_mean_pointwise_R_90,11,5000,5000,9,12,17
codes_1_30_primary,body_configuration,1,forehand_attack,forehand attack,required_n_R_L2_80,3,5000,5000,2,3,4
codes_1_30_primary,body_configuration,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_80,3,5000,5000,2,3,5
codes_1_30_primary,body_configuration,1,forehand_attack,forehand attack,required_n_R_L2_90,6,5000,5000,4,6,9
codes_1_30_primary,body_configuration,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_90,6,5000,5000,5,7,10
codes_1_30_primary,body_configuration,2,forehand_drive,forehand drive,required_n_R_L2_80,3,5000,5000,2,3,5
codes_1_30_primary,body_configuration,2,forehand_drive,forehand drive,required_n_mean_pointwise_R_80,3,5000,5000,2,3,4
codes_1_30_primary,body_configuration,2,forehand_drive,forehand drive,required_n_R_L2_90,6,5000,5000,4,6,10
codes_1_30_primary,body_configuration,2,forehand_drive,forehand drive,required_n_mean_pointwise_R_90,6,5000,5000,5,6,9
codes_1_30_primary,body_configuration,3,forehand_push,forehand push,required_n_R_L2_80,2,5000,5000,2,2,3
codes_1_30_primary,body_configuration,3,forehand_push,forehand push,required_n_mean_pointwise_R_80,2,5000,5000,2,2,3
codes_1_30_primary,body_configuration,3,forehand_push,forehand push,required_n_R_L2_90,4,5000,5000,3,4,6
codes_1_30_primary,body_configuration,3,forehand_push,forehand push,required_n_mean_pointwise_R_90,4,5000,5000,3,4,6
codes_1_30_primary,body_configuration,4,backhand_attack,backhand attack,required_n_R_L2_80,3,5000,5000,3,3,5
codes_1_30_primary,body_configuration,4,backhand_attack,backhand attack,required_n_mean_pointwise_R_80,3,5000,5000,3,4,5
codes_1_30_primary,body_configuration,4,backhand_attack,backhand attack,required_n_R_L2_90,7,5000,5000,6,7,10
codes_1_30_primary,body_configuration,4,backhand_attack,backhand attack,required_n_mean_pointwise_R_90,7,5000,5000,6,8,10
codes_1_30_primary,body_configuration,5,backhand_drive,backhand drive,required_n_R_L2_80,4,5000,5000,3,4,5
codes_1_30_primary,body_configuration,5,backhand_drive,backhand drive,required_n_mean_pointwise_R_80,4,5000,5000,3,4,5
codes_1_30_primary,body_configuration,5,backhand_drive,backhand drive,required_n_R_L2_90,8,5000,5000,7,9,12
codes_1_30_primary,body_configuration,5,backhand_drive,backhand drive,required_n_mean_pointwise_R_90,8,5000,5000,7,9,12
codes_1_30_primary,body_configuration,6,backhand_push,backhand push,required_n_R_L2_80,2,5000,5000,2,2,3
codes_1_30_primary,body_configuration,6,backhand_push,backhand push,required_n_mean_pointwise_R_80,2,5000,5000,2,2,3
codes_1_30_primary,body_configuration,6,backhand_push,backhand push,required_n_R_L2_90,4,5000,5000,3,4,6
codes_1_30_primary,body_configuration,6,backhand_push,backhand push,required_n_mean_pointwise_R_90,5,5000,5000,4,5,7
codes_11_40_alternative_window,racket,1,forehand_attack,forehand attack,required_n_R_L2_80,5,5000,5000,4,5,7
codes_11_40_alternative_window,racket,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_80,5,5000,5000,4,6,8
codes_11_40_alternative_window,racket,1,forehand_attack,forehand attack,required_n_R_L2_90,10,5000,5000,8,11,16
codes_11_40_alternative_window,racket,1,forehand_attack,forehand attack,required_n_mean_pointwise_R_90,11,5000,5000,9,12,18
