waveform,action_id,action_label_en,action_label,required_n_R_L2_80,required_n_mean_pointwise_R_80,required_n_R_L2_90,required_n_mean_pointwise_R_90,pointwise_minus_trace_n80,pointwise_minus_trace_n90,estimand_interpretation
racket,1,forehand_attack,forehand attack,3,3,6,7,0,1,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
racket,2,forehand_drive,forehand drive,4,4,7,8,0,1,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
racket,3,forehand_push,forehand push,4,4,8,9,0,1,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
racket,4,backhand_attack,backhand attack,8,7,17,16,-1,-1,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
racket,5,backhand_drive,backhand drive,12,8,27,17,-4,-10,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
racket,6,backhand_push,backhand push,5,5,10,11,0,1,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
body_configuration,1,forehand_attack,forehand attack,3,3,6,6,0,0,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
body_configuration,2,forehand_drive,forehand drive,3,3,6,6,0,0,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
body_configuration,3,forehand_push,forehand push,2,2,4,4,0,0,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
body_configuration,4,backhand_attack,backhand attack,3,3,7,7,0,0,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
body_configuration,5,backhand_drive,backhand drive,4,4,8,8,0,0,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
body_configuration,6,backhand_push,backhand push,2,2,4,5,0,1,trace_ratio_and_phase_mean_pointwise_ratio_are_distinct_functional_summaries
