curve_family,metric,bootstrap_replicates,median,ci_low_2_5pct,ci_high_97_5pct
body14mean,omega_action,5000,0.5092669830311146,0.45639233895259296,0.5606791075527453
body14mean,omega_athlete,5000,0.04301505084371258,0.0240696046199678,0.06577050674178675
body14mean,omega_action_x_athlete,5000,0.2613917461072485,0.2154601191617378,0.30827046055543195
body14mean,omega_trial_residual,5000,0.18432207285501412,0.15985333151912212,0.21691969794959484
body14mean,context_relative_reliability_all_cells_n10,5000,0.9779019502012263,0.9730458285347101,0.9813284246798905
body14mean,context_relative_reliability_pooled_fixed_actions_n10,5000,0.9427966895725961,0.9269192438043024,0.9547430218855806
body14mean,context_relative_reliability_athlete_across_actions_n50,5000,0.49414013488064856,0.3494431841988122,0.6054732657832419
racket,omega_action,5000,0.3206461036271837,0.2757075440959819,0.3735819919633919
racket,omega_athlete,5000,0.015054501942344827,0.0057399349808816965,0.030013995419476545
racket,omega_action_x_athlete,5000,0.27958909279928934,0.23574698473290306,0.3199728599780823
racket,omega_trial_residual,5000,0.382871911743032,0.3392128384060873,0.42715152626615266
racket,context_relative_reliability_all_cells_n10,5000,0.9415833100023339,0.9306080622743326,0.9511719138107846
racket,context_relative_reliability_pooled_fixed_actions_n10,5000,0.8850115100409194,0.8594100520970025,0.9054306459710554
racket,context_relative_reliability_athlete_across_actions_n50,5000,0.23966223099968464,0.10691760604655116,0.3918987778585241
