analysis,waveform,action_id,action_label_en,action_label,trials_m,R_L2_integrated_components,mean_pointwise_reliability
rawlen_le_200_unbalanced_profile_REML,racket,1,forehand_attack,forehand attack,1,0.651090703025,0.64586555025
rawlen_le_200_unbalanced_profile_REML,racket,1,forehand_attack,forehand attack,2,0.78867950965,0.778110116706
rawlen_le_200_unbalanced_profile_REML,racket,1,forehand_attack,forehand attack,5,0.903198064356,0.893840828215
rawlen_le_200_unbalanced_profile_REML,racket,1,forehand_attack,forehand attack,10,0.949137224624,0.942762153265
rawlen_le_200_unbalanced_profile_REML,racket,1,forehand_attack,forehand attack,15,0.965506674324,0.96072597617
rawlen_le_200_unbalanced_profile_REML,racket,1,forehand_attack,forehand attack,20,0.973904979735,0.97008455711
rawlen_le_200_unbalanced_profile_REML,racket,1,forehand_attack,forehand attack,30,0.982450669781,0.979725559037
rawlen_le_200_unbalanced_profile_REML,racket,1,forehand_attack,forehand attack,40,0.986780001807,0.984661833413
rawlen_le_200_unbalanced_profile_REML,racket,1,forehand_attack,forehand attack,50,0.989395964379,0.987663468939
rawlen_le_200_unbalanced_profile_REML,racket,2,forehand_drive,forehand drive,1,0.632109078707,0.649262216032
rawlen_le_200_unbalanced_profile_REML,racket,2,forehand_drive,forehand drive,2,0.774591707079,0.780594418346
rawlen_le_200_unbalanced_profile_REML,racket,2,forehand_drive,forehand drive,5,0.895735422587,0.894843021345
rawlen_le_200_unbalanced_profile_REML,racket,2,forehand_drive,forehand drive,10,0.945000459362,0.943118399454
rawlen_le_200_unbalanced_profile_REML,racket,2,forehand_drive,forehand drive,15,0.962648874663,0.960884909057
rawlen_le_200_unbalanced_profile_REML,racket,2,forehand_drive,forehand drive,20,0.971722607893,0.970159818322
rawlen_le_200_unbalanced_profile_REML,racket,2,forehand_drive,forehand drive,30,0.98096902313,0.979736075513
rawlen_le_200_unbalanced_profile_REML,racket,2,forehand_drive,forehand drive,40,0.985658534322,0.984650751524
rawlen_le_200_unbalanced_profile_REML,racket,2,forehand_drive,forehand drive,50,0.988493824373,0.987644131961
rawlen_le_200_unbalanced_profile_REML,racket,3,forehand_push,forehand push,1,0.569998645205,0.570023119811
rawlen_le_200_unbalanced_profile_REML,racket,3,forehand_push,forehand push,2,0.726113550411,0.718437526849
rawlen_le_200_unbalanced_profile_REML,racket,3,forehand_push,forehand push,5,0.868901809378,0.860065479669
rawlen_le_200_unbalanced_profile_REML,racket,3,forehand_push,forehand push,10,0.929852820537,0.923577836446
