waveform,action_id,action_label,target_R_L2,replicates,continuous_median,integer_median,continuous_required_n_p025,continuous_required_n_p975,integer_required_n_p025,integer_required_n_p975
body_configuration,1,forehand attack,0.8,5000,2.41682261227,3,1.56356935888,3.97549575064,2,4
body_configuration,1,forehand attack,0.9,5000,5.43785087761,6,3.51803105748,8.94486543895,4,9
body_configuration,2,forehand drive,0.8,5000,2.43243424393,3,1.64099878793,3.94547976475,2,4
body_configuration,2,forehand drive,0.9,5000,5.47297704885,6,3.69224727285,8.87732947068,4,9
body_configuration,3,forehand push,0.8,5000,1.5237209438,2,1.06642766555,2.31714174261,2,3
body_configuration,3,forehand push,0.9,5000,3.42837212355,4,2.39946224749,5.21356892088,3,6
body_configuration,4,backhand attack,0.8,5000,2.9418803397,3,2.22699898978,4.10745065138,3,5
body_configuration,4,backhand attack,0.9,5000,6.61923076432,7,5.010747727,9.24176396561,6,10
body_configuration,5,backhand drive,0.8,5000,3.6408839168,4,2.80540313334,4.91893888698,3,5
body_configuration,5,backhand drive,0.9,5000,8.1919888128,9,6.31215705002,11.0676124957,7,12
body_configuration,6,backhand push,0.8,5000,1.60291504305,2,1.12205746904,2.37302063355,2,3
body_configuration,6,backhand push,0.9,5000,3.60655884686,4,2.52462930535,5.33929642548,3,6
racket,1,forehand attack,0.8,5000,2.72187916557,3,1.6898551174,4.5753051594,2,5
racket,1,forehand attack,0.9,5000,6.12422812254,7,3.80217401416,10.2944366086,4,11
racket,2,forehand drive,0.8,5000,3.1057184456,4,2.30043442316,4.4617255213,3,5
racket,2,forehand drive,0.9,5000,6.98786650259,7,5.17597745212,10.0388824229,6,11
racket,3,forehand push,0.8,5000,3.60500600706,4,2.42895307069,5.15361691792,3,6
racket,3,forehand push,0.9,5000,8.11126351587,9,5.46514440906,11.5956380653,6,12
racket,4,backhand attack,0.8,5000,7.62655241625,8,5.44669830504,11.7931961009,6,12
racket,4,backhand attack,0.9,5000,17.1597429366,18,12.2550711863,26.5346912271,13,27
racket,5,backhand drive,0.8,5000,12.1204921303,13,7.84323154368,19.3229562014,8,20
racket,5,backhand drive,0.9,5000,27.2711072931,28,17.6472709733,43.4766514532,18,44
racket,6,backhand push,0.8,5000,4.56414780359,5,3.49580249577,6.36999574603,4,7
racket,6,backhand push,0.9,5000,10.2693325581,11,7.86555561547,14.3324904286,8,15
